Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,knuckle_mass_kg,n_lines,n_expansion,bank_angle_deg,n_rings,tether_length_m,mass_structural_kg,mass_expansion_kg,mass_tether_kg,mass_total_kg,cost_kg,min_fos,min_torsional_fos,worst_ring,bem_rotor_m,omega_rads,feasible
0.03467473308836172,0.14133284402179053,0.5994782372760117,0.5366350421379515,9.946816836670942,1.971694050159191,0.8074641780245662,0.1575833731588524,3,2,15.06329875855972,18,67.0820393249937,166.14264453254094,2.5893633673341885,6.8992461677233745,175.6312540675985,1.0016614264453254e6,0.005233414691311505,0.7672019250758332,2,7.388283839245697,6.104259254420368,false
0.13155392190723758,0.11325181470564087,0.7407083236929575,0.809444198239821,10.139755563977413,3.388724957179043,1.1714539833959199,0.022572251816125863,6,1,37.81558095596582,10,67.0820393249937,1594.6944482731383,1.3139755563977413,13.798492335446749,1609.8069161649828,1.0034768528996328e6,0.9472787144709363,1.3073056886294632,2,8.514668267552478,5.296741879171751,false
0.2025050949997684,0.1184921197287835,0.34510952378533444,0.44530755147698403,9.09476051439979,0.4864690512434136,1.3329038669192115,0.12279593066218804,6,5,36.71256262544341,18,67.0820393249937,2662.5378965439727,6.047380257199895,13.798492335446749,2682.3837691366193,1.0226618855664117e6,3.7281489475550225,0.176234534108467,11,8.514668267552478,5.296741879171751,false
0.1578170319414702,0.1238060507316599,0.9292076829996794,0.9297139438986229,10.798181273222372,1.3162395124221578,1.1672794570779184,0.16191128783418296,6,4,34.55244413231867,14,67.0820393249937,2288.658344567546,5.51927250928895,13.798492335446749,2307.9761094122814,1.0228865834456754e6,0.34740932602047825,0.5156120579312232,2,8.514668267552478,5.296741879171751,false
0.10373389059809432,0.08228150015985945,0.30933195866023566,0.13424882585372774,9.656555511917466,1.4136526326219399,0.7724502342761499,0.12545489473417967,4,1,21.40488243483158,21,67.0820393249937,1129.5445889030705,1.2656555511917467,9.198994890297833,1140.00923934456,1.0112954458890307e6,0.21755238212227362,0.5800960916079501,18,7.745017283109401,5.823098690606621,false
0.24213150464811503,0.09634826314779577,0.758793139253892,0.09364380170157557,7.971091346553839,0.5861453596599353,1.4289088155228318,0.06828366150633679,5,4,35.51773226870889,18,67.0820393249937,6022.529846898935,4.388436538621536,11.498743612872293,6038.417027050428,1.0452430640688223e6,396.2554944224158,0.19967247922480408,11,8.127622629338422,5.548978103043531,false
0.0493352373177059,0.04289812399307651,0.8190720253912058,0.9273072081327757,7.724232896597032,2.0389026314715437,0.5000925115965276,0.19146561459166042,4,2,22.578600736418974,22,67.0820393249937,134.61837215803703,2.1448465793194065,9.198994890297833,145.96221362765428,1.0013461837215804e6,0.00542707731651334,0.8489064036808623,2,7.745017283109401,5.823098690606621,false
0.028219681603675446,0.13147869653634175,0.7908911435517219,0.7391611561078106,7.793566170965931,4.7010535752727804,0.47866871360733143,0.12986831743655172,7,3,16.006641281516202,22,67.0820393249937,260.20863225465723,3.2380698512897794,16.098241058021205,279.5449431639682,1.0026020863225466e6,0.011499106881981148,2.3995680697343915,2,8.895449557878187,5.070007952555644,false
0.049204991467180895,0.09033283039354341,0.49705044831111134,0.24047416015908615,7.346670501515823,0.9885377914232514,0.6841050568676321,0.1683949677195647,7,1,33.4498314560671,22,67.0820393249937,259.8447883329896,1.0346670501515824,16.098241058021205,276.9776964411624,1.0025984478833299e6,0.05164749222855195,0.4314060539163879,21,8.895449557878187,5.070007952555644,false
0.1464525737458136,0.07543776896380681,0.5405268082663968,0.23876585548578105,8.217496202399781,4.594750846723878,1.9894328843130444,0.1542228546955271,8,6,26.66591433171561,6,67.0820393249937,1166.1312299217293,6.7304977214398685,18.397989780595665,1191.2597174237649,1.001273888670709e6,7.057130439276114,1.373115944197192,3,9.264475183391502,4.8680577266644445,false
