P_kw,hub_z,delta_alpha_deg,tau_gen,omega_gnd,T_max,n_slack,backline_payout,omega_hub,ring_max_util,mode,delta_omega,t
10.75036797029536,14.995458181822443,80.68162581368627,1083.294275667843,9.92377437208171,2050.6100379178224,0,0.0,9.518769532138974,0.010121832259274524,Mode 0 (Standard),-0.40500483994273573,0.019999999999999858
7.107715813388487,14.984266654912213,80.69830378601097,822.1497552186147,8.645281189068166,1386.8113707500036,0,0.0,9.547774497057162,0.003739230981137425,Mode 0 (Standard),0.9024933079889959,0.03999999999999904
5.1835586386749615,14.973247583918587,82.03156399357918,666.1155503009143,7.781770950000066,1073.9099331189675,0,0.0,9.572793616119894,0.027430247202474986,Mode 0 (Standard),1.7910226661198276,0.05999999999999823
4.138626755140869,14.963146654299754,84.2507847575908,573.282127331991,7.219179803148069,915.3198632303727,0,0.0,9.595407866352051,0.06619089385108863,Mode 0 (Standard),2.376228063203982,0.07999999999999742
3.624561664431067,14.95411738878733,87.0084954531056,524.7686598010271,6.90697052260203,843.3130433260542,1,0.0,9.616366509000402,0.38578782482245016,Mode 0 (Standard),2.7093959863983716,0.0999999999999966
3.4112106587034137,14.946607103666231,90.05253709031686,503.96834086976526,6.768700297356443,814.524079718495,1,0.0,9.63608884492002,0.5893275388892165,Mode 0 (Standard),2.867388547563576,0.11999999999999579
3.3829373430921175,14.940820804654232,93.20750299569312,501.17976842372457,6.749947935312502,806.2702308033812,2,0.0,9.655101959575859,0.6509103623870182,Mode 0 (Standard),2.905154024263357,0.14000000000000018
3.469655396194364,14.936741692467274,96.35765926275594,509.7083995634962,6.807137961951786,822.6837667335141,2,0.0,9.673816453230705,0.41632142742178185,Mode 0 (Standard),2.866678491278919,0.1600000000000063
3.621295458159886,14.934184138046238,99.43443267295734,524.4533554280616,6.904895203128532,821.6152019851414,2,0.0,9.692470207692143,0.3064046018999219,Mode 0 (Standard),2.7875750045636103,0.18000000000001243
3.803609140093056,14.932814791911188,102.40459262869888,541.911228723126,7.018878625296766,820.7032930852223,1,0.0,9.711230731516038,0.3137848328657616,Mode 0 (Standard),2.6923521062192712,0.20000000000001855
