wind_ms,P_model_W,w_gnd_rads
3.25,0.0,2.4998233908160308
3.75,0.0,2.499930645915955
4.25,28.312774031567482,2.500001434035814
4.75,178.81873651207465,8.28563985268891
5.25,240.49457161716418,11.030763471403212
5.75,204.35595147773034,16.232562397631938
6.25,234.37391291566658,18.33290273739572
6.75,262.16121005779405,20.407435838671407
7.25,289.5661041136232,22.471139993320442
7.75,316.64366029755615,24.52285975895665
8.25,343.51685318913667,26.562238513488403
8.75,370.21344143373494,28.58947556084492
