t,hub_z,omega_hub,P_kw
0.019999999999999858,33.54083503088594,0.6208178888787609,0.0
0.03999999999999904,33.53652241503678,0.6224240053809554,0.0
0.05999999999999823,33.52937904920392,0.6242632960517367,0.0
0.07999999999999742,33.519397495005265,0.626115411107262,0.0
0.0999999999999966,33.50649172310531,0.6280588926810078,0.0
0.11999999999999579,33.490700660361036,0.630192974990786,0.0
0.14000000000000018,33.47209531640345,0.6321589458305621,0.0
0.1600000000000063,33.450730541450895,0.6340346366408968,0.0
0.18000000000001243,33.42666570297269,0.6359871195495279,0.0
0.20000000000001855,33.39998243551097,0.6382520974920626,0.0
0.22000000000002468,33.37070641383141,0.64042965550096,0.0
0.2400000000000308,33.33887735275928,0.6418993747818605,0.0
0.26000000000003,33.304569509897625,0.6428175450718452,0.0
0.28000000000002223,33.26783908877892,0.6436076876999335,0.0
0.3000000000000145,33.22870071572387,0.6422931042084915,0.0
0.3200000000000067,33.187167880907374,0.6371265800929369,0.0
0.33999999999999897,33.14331968323514,0.6288320682036972,0.0
0.3599999999999912,33.097282837701805,0.6179035582388196,0.0
0.37999999999998346,33.049148257934974,0.6034186813238818,0.0
0.3999999999999757,32.999035436683585,0.5863204040910067,0.0
0.41999999999996795,32.947098063578366,0.5658906342950373,0.0
0.4399999999999602,32.8934819466704,0.5429680643311505,0.0
0.45999999999995245,32.83839636031818,0.5180210554882321,0.0
0.4799999999999447,32.78203346730412,0.4915060973336959,0.0
0.49999999999993694,32.72458211745374,0.46421320992289816,0.0
0.5199999999999569,32.66622849558945,0.4369501457010829,0.0
0.5399999999999769,32.607154787463514,0.41071791971350463,0.0
0.559999999999997,32.54753653162837,0.3864610616761715,0.0
0.580000000000017,32.48754118756049,0.36467511872813735,0.0
0.600000000000037,32.42733184104727,0.3455636435503475,0.0
0.620000000000057,32.367074485204185,0.3288861259006376,0.0
0.640000000000077,32.306941767042375,0.3141818932193866,0.0
0.660000000000097,32.24713928704515,0.3005817354534497,0.0
0.680000000000117,32.18796197153211,0.2889723609888656,0.0
0.700000000000137,32.129523079355415,0.27750897895824855,0.0
0.720000000000157,32.07199332396175,0.2648694863986744,0.0
0.740000000000177,32.015581363760575,0.2487993407855789,0.0
0.760000000000197,31.960564009425617,0.22993489022891803,0.0
0.780000000000217,31.906995130151866,0.21059134878801375,0.0
0.800000000000237,31.854965571123177,0.19061142526327407,0.0
0.820000000000257,31.80455914067601,0.17056091034153287,0.0
0.840000000000277,31.755844206434528,0.15128144533379084,0.0
0.860000000000297,31.708874976600004,0.13349315928413333,0.0
0.880000000000317,31.663696701620253,0.11733619065644918,0.0
0.900000000000337,31.620365176551243,0.10285716369920804,0.0
0.920000000000357,31.578922254023958,0.08985022993054483,0.0
0.940000000000377,31.539402181566615,0.07826272864662322,0.0
0.960000000000397,31.501830848665627,0.06799001452421127,0.0
0.980000000000417,31.466218807486545,0.05902573573263592,0.0
1.000000000000437,31.432529345833395,0.05252103251908567,0.0
1.020000000000457,31.40073657424397,0.04894233287945306,0.0
1.040000000000477,31.370836261187563,0.04779262713671281,0.0
1.060000000000497,31.342848205794535,0.0473215433737549,0.0
1.080000000000517,31.31685278929451,0.04643578915591205,0.0
1.100000000000537,31.292905947796726,0.045330545554029954,0.0
1.120000000000557,31.271001166301073,0.04452744866410576,0.0
1.140000000000577,31.251105598237576,0.04407951828018628,0.0
1.160000000000597,31.233201299827467,0.043506002752763645,0.0
1.180000000000617,31.217294392974484,0.042551832666731564,0.0
1.200000000000637,31.203385038785722,0.04132229585027751,0.0
1.220000000000657,31.19145693481605,0.03989269328355971,0.0
1.240000000000677,31.18154124584581,0.03959963268818785,0.0
1.260000000000697,31.173815276219944,0.042080666391968946,0.0
1.280000000000717,31.16809011596582,0.04486738342925879,0.0
1.300000000000737,31.164268930207594,0.04792155689219487,0.0
1.320000000000757,31.162303709267647,0.051605581465786865,0.0
1.340000000000777,31.162178843574743,0.05626829111590892,0.0
1.360000000000797,31.163887856640475,0.061680145616786954,0.0
1.380000000000817,31.167430657534457,0.06692383457247165,0.0
1.400000000000837,31.17283952982294,0.07124977883312321,0.0
1.420000000000857,31.18016100640672,0.07454759809789314,0.0
1.440000000000877,31.189423089046795,0.07684285317777954,0.0
1.460000000000897,31.200640573590174,0.07794162197542866,0.0
1.480000000000917,31.21384211487094,0.07747552586554762,0.0
1.500000000000937,31.22911664239419,0.07378152606375091,0.0
1.520000000000957,31.246498585559205,0.06894025741281079,0.0
1.540000000000977,31.26591528342491,0.06433194696343651,0.0
1.560000000000997,31.28731378275362,0.06064824907161575,0.0
1.580000000001017,31.310663529313825,0.05772769919043504,0.0
1.600000000001037,31.335976974997163,0.05517657200020899,0.0
1.620000000001057,31.363274210239837,0.052805323334889354,0.0
1.640000000001077,31.392562210114022,0.050516268434324475,0.0
1.660000000001097,31.423839932096246,0.04822973936014867,0.0
1.680000000001117,31.457099634241498,0.04589604545035054,0.0
1.700000000001137,31.492324497110747,0.0434853556409224,0.0
1.720000000001157,31.529487870037514,0.04097695090625594,0.0
1.740000000001177,31.568551165858487,0.03842526404649021,0.0
1.760000000001197,31.609454928767413,0.0353069600606911,0.0
1.780000000001217,31.65215565409471,0.03208497668168878,0.0
1.800000000001237,31.696583522272405,0.029928567148897627,0.0
1.820000000001257,31.7426147055535,0.029620736683076923,0.0
1.840000000001277,31.79010781339293,0.031007061284710553,0.0
1.860000000001297,31.838961014152233,0.033577450483762684,0.0
1.880000000001317,31.88908854613886,0.0366347694252055,0.0
1.900000000001337,31.94038617133652,0.03919282967492099,0.0
1.920000000001357,31.992740587178826,0.03934421499691565,0.0
1.940000000001377,32.04602768327267,0.03869156017843365,0.0
1.960000000001397,32.100072038756906,0.03961997408507039,0.0
1.980000000001417,32.15461014830698,0.03800679268854622,0.0
2.000000000001437,32.209457089001724,0.03520011074997993,0.0
2.020000000001346,32.26441954253696,0.03258937213753516,0.0
