n_lines,Do_top_mm,mass_kg,feasible
3,51.90380058154101,1.0001288093252857e6,false
4,57.44099766732248,1.0001619936948708e6,false
5,63.00211553824163,1.0001954215216773e6,false
6,68.3092431188346,1.0001569026693754e6,false
7,73.32934206394354,1.000124020981237e6,false
8,78.08087025870442,1.000102182039081e6,false
9,82.59212366455513,1.0000830582798158e6,false
10,86.8906994905913,1.0000675603801778e6,false
11,91.00095648876076,1.000055371873019e6,false
12,94.9437454281317,74.17056297774964,true
