# ramp_calibration_campaign v1
# date: 2026-08-11 17:28:25
# git: 1960d6a
# n_evals: 20
# v_wind: 11.0  power_W: 50000.0
# protocol: evaluate_ramp (RampController IDLE→RAMPING→HOLDING, 60s window)
eval_id,seed_idx,status,fitness,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drifted,stationary,k_converged,ramp_chunks,wall_time_s
1,1,reject,Inf,0.0,Inf,49.2,0.0,true,false,0.0,0,513.7
2,2,reject,Inf,0.0,Inf,51.0,0.0,true,false,0.0,0,504.3
