t,k_mppt,P_kw,omega_hub,omega_gnd,delta_omega,min_fos,collapse_margin_deg,twist_deg,T_max_N,state,fos_ring1,fos_ring2,fos_ring3,fos_ring4,fos_ring5,fos_ring6,fos_ring7,fos_ring8,fos_ring9,fos_ring10,fos_ring11,fos_ring12,fos_ring13,fos_ring14,fos_ring15,fos_ring16,fos_ring17,fos_ring18,fos_ring19,fos_ring20,fos_ring21,fos_ring22,max_line_T_ratio
0.019999999999999858,62.0,0.09413331993037127,1.1411845236135254,1.1504899045262065,-0.009305380912681072,45.0290705315467,Inf,65.08979523156721,4302.685423626315,fixed,1.599494666307174e6,59.57378395675868,61.775489906490854,63.95423623154654,66.14891186714928,68.40452191382771,70.75000846201279,73.17296167111317,75.53924876123254,77.27692791455638,76.43000658058718,69.00000411828671,61.34188759236637,73.4375838722104,64.66012755818797,54.98083684484018,60.44033463379191,52.59277298030608,45.0290705315467,49.74365035986276,50.88231883146796,75.16602728056736,1.2293386924646614
0.03999999999999904,62.0,0.09680454898853771,1.1442520652739807,1.161271075193718,-0.01701900991973737,50.97720292427781,Inf,65.0746701699998,4169.1856699441005,fixed,1.3573455098912297e6,61.92805145507143,64.61767764075748,66.98355269339798,69.12078393555909,70.99778283220476,72.54948699798433,73.56837705329926,73.45837266961354,70.9041762647023,64.26495373137006,53.796669673572204,52.228075398898426,63.2781817464565,52.90785570141738,51.11411275928373,60.04902151928641,51.03527453960467,50.97720292427781,60.32242319299585,60.24054232079476,113.95607719149899,1.1911959056983144
0.05999999999999823,62.0,0.09946537508128533,1.1480089413789893,1.1718148437950584,-0.023805902416069058,46.52653456591749,Inf,65.05120070166586,4003.8532983135487,fixed,4.428938553624565e6,62.12262367283487,64.96898828884478,67.7886527753244,70.51937718812526,72.2315398003264,73.3200027212385,73.21760763492323,70.89078106349352,65.2500276049214,56.43938374808011,46.55181820985252,46.99570248599119,59.61829142109615,47.359313304946355,48.36507935671851,58.56534541703608,46.52653456591749,51.0602292997265,62.77477830310719,59.75235021724059,78.53859095674353,1.1439580852324425
0.07999999999999742,62.0,0.10212159045469064,1.1519911099654891,1.1821544194320477,-0.03016330946655854,40.77550536201198,Inf,65.02027070059945,3926.0061770298353,fixed,1.268745835721008e6,60.915813149401245,64.27190932227525,67.55103724801609,70.32721581724604,72.54712004761095,73.6413574029336,71.77981076063813,67.01529901221713,59.378261156817985,50.26701709075361,41.4580852160419,40.77550536201198,57.26196449163676,44.20509288274872,43.24543713611992,60.431921193338205,45.136571710091275,52.27747244341929,69.77294359940535,55.758701550743496,43.49218308519825,1.1217160505799528
0.0999999999999966,62.0,0.1047785875896068,1.1553430016016826,1.1923191889715903,-0.03697618736990771,36.19545641239735,Inf,64.98185250348376,3852.488018507242,fixed,1.1665878138734018e6,63.21477815483761,64.37616300651084,67.54029985017598,70.20726715286024,71.68042079945671,71.21276700086102,67.94776027686683,61.682952642635975,53.42778603833567,44.7993263574086,36.5188855572795,36.19545641239735,54.84349121213657,40.98811095154021,38.62441190987881,66.5630536448303,45.343615118912275,51.36493372961579,90.70334723927341,52.31613739862023,40.25882678093094,1.1007108624306405
0.11999999999999579,62.0,0.10745011142966251,1.1586391689656108,1.2023677256037169,-0.04372855663810604,31.776154100461646,Inf,64.93556623361691,3788.097460687701,fixed,1.8775298854806765e6,61.63319633234595,64.74292727764505,67.36578671074712,69.48098114000645,69.83893532272852,67.56701610558696,62.38014835883328,54.986023877249124,46.82668951769496,39.24582264765701,32.14151718832908,31.776154100461646,50.15198908883202,36.3515612416736,36.037403039216244,67.16862072378778,44.40731018618788,47.85381828599939,124.73587988462901,57.64891670354897,45.2236872311085,1.082313560196486
0.14000000000000018,62.0,0.1101637274759747,1.162037775019186,1.212405489918974,-0.050367714899788085,26.22509136834969,Inf,64.88164690207086,3813.8201228816047,fixed,1.094173965624326e6,59.38482904342871,62.86504382673362,66.10080661314002,67.30009938738817,66.13243677641307,62.1295729080256,55.71463312241432,48.10746692721641,40.61652640337653,34.05823371356645,28.609197708756206,26.22509136834969,44.348284153116666,32.789213249040984,32.602455433132214,68.40844147672061,43.62454624200667,50.74694989308958,142.99039910146377,65.53017055557707,44.99263922232378,1.089662892251887
0.1600000000000063,62.0,0.11296477448739872,1.1655784767998263,1.222595238512028,-0.05701676171220171,22.64267141394654,Inf,64.82010797988819,3878.073229461046,fixed,1.0161878717437945e6,60.24871203977071,60.796179317095046,62.967337054389624,63.15987265766699,60.463038652703176,55.22996868132774,48.44416862246476,41.33722337316646,34.801434859420795,29.248549081772598,25.0207801870303,22.64267141394654,39.31566942618491,30.422648634636538,27.638624771614257,72.27949391792174,45.28100531920357,57.54783726149089,429.9395490536789,80.84155334494582,47.71799345449149,1.108020922703156
0.18000000000001243,62.0,0.11591205002493463,1.1694758128120577,1.2331366789550275,-0.06366086614296984,20.29747126788331,Inf,64.75095088573653,4017.1618104853424,fixed,1.1755812161264243e6,56.5030259219476,58.59321036649783,59.08624836217088,57.87708824787961,54.16525941734023,48.48338385061359,41.99229045127808,35.68440302813896,30.117763982640962,25.587394265454265,21.913230343024455,20.29747126788331,34.84912203401688,27.734408612091386,24.361590756039284,70.55766121103153,49.10134672848904,59.06662363319069,3.7548302311886856e6,84.95296374965416,37.63789768047252,1.1477605172815264
0.20000000000001855,62.0,0.11907885163904298,1.1749437894426231,1.2442659963656053,-0.06932220692298219,17.373514170739085,Inf,64.6745827733523,4202.895181521753,fixed,877270.353172051,51.81582145496108,53.382448323154385,53.93640045206642,51.70099425956319,47.44229025133566,41.949075130736276,36.17768503256286,30.829172399924346,26.25380523807427,22.507653073626358,19.248686188186092,17.373514170739085,32.31242052597628,25.652821370247274,23.34596390253684,73.28018692207881,50.85797609009848,52.6964768042826,423.89563156079913,72.64946207097375,33.41962880291373,1.200827194720501
0.22000000000002468,62.0,0.12256109073656374,1.1811947940111562,1.256278399658279,-0.07508360564712269,15.3612134667185,Inf,64.59167220187817,4424.676465090464,fixed,820144.4612225539,48.43857832329184,47.76480882666376,47.05165717454473,44.49139154364044,40.28099623946842,35.41183399784687,30.60951377030489,26.294595343956082,22.604420218483682,19.671341796311538,16.85443321122108,15.3612134667185,28.921525746962743,24.141204429163057,21.888087242992853,91.19317983216334,57.06922065041514,49.448069830707254,225.45424997963266,61.949484058159236,47.2921966054628,1.2641932757401326
0.2400000000000308,62.0,0.1264791958469671,1.2064077622578302,1.26952537361044,-0.06311761135260974,14.394631977834823,Inf,64.50989302816825,4662.913804124902,fixed,778458.8922352362,42.59833629517463,42.44713378517963,40.765622868719674,37.91532726650979,34.164456987980934,30.090595415917544,26.206345222273335,22.75455958605578,19.875111873376785,17.6762690750799,15.24377762662545,14.394631977834823,27.94701694071748,22.50377499742909,19.625404330114648,133.63888360348275,57.856578247792925,54.00196952056035,5.794294799068434e6,78.05132955642215,58.37858892136448,1.332261086892829
0.26000000000003,62.0,0.13098067306089095,1.2515300048581974,1.284411226113484,-0.032881221255286475,13.179644040556546,Inf,64.45415890313089,4939.102642357574,fixed,643429.536062121,36.78214089737951,36.1778273322013,34.85393922738649,32.25291428392915,29.102599742488067,25.855676027747467,22.80968785864716,20.14729962456344,17.917313397665232,16.12667893200744,13.673546453855822,13.179644040556546,26.726061544439943,21.829181601696227,18.498169406973247,222.11356098182705,67.63273646301278,57.8063029205634,4.1828518547024312e6,230.91112378360964,30.97030872730899,1.4111721835307354
0.28000000000002223,62.0,0.1362533332810367,1.3000653862010518,1.3014197665415936,-0.0013543803405418053,12.123901906026505,Inf,64.43485326921437,5261.000116858365,fixed,601753.5577131503,31.405643386748057,30.43884603880357,29.034748496868534,27.000717464061736,24.560373169528845,22.101734598455963,19.826998622636086,17.80437414590565,16.0747377006931,14.631827380975148,12.34687660294031,12.123901906026505,23.789790916687238,21.486711809172245,18.500803412164046,343.68362718359407,104.46785668297737,47.16349349053111,2.2363825216660895e6,113.59796693392313,32.756581474438526,1.5031428905309614
0.3000000000000145,62.0,0.1425352945501315,1.3488536075638302,1.3211206857743825,0.02773292178944775,11.485242322836624,Inf,64.45013627140959,5631.510475406374,fixed,537463.8409476927,26.077545327901642,25.49238989471111,24.32503874252725,22.747942814156165,20.97165628272817,19.170165174568986,17.47711909770368,15.975078592514233,14.761715565596983,13.33877762410522,11.485242322836624,11.798975014423435,23.162809822021227,20.827881281781384,18.407482002182444,673.9236884087157,216.60993286114672,51.630755725372346,542.1651620835065,27.147921471627836,58.64812027081664,1.6090029929732497
