t,k_mppt,P_kw,omega_hub,omega_gnd,delta_omega,min_fos,collapse_margin_deg,twist_deg,T_max_N,state
0.019999999999999858,550.0,0.8103623324899603,1.141184523613527,1.1390368348513906,0.002147688762136335,45.02907035309278,Inf,65.0963802305773,4305.027438619378,fixed
0.03999999999999904,550.0,0.8091506398597721,1.1442520646053242,1.1384688374877356,0.005783227117588607,50.97693491337812,Inf,65.10090513128895,4175.842506142044,fixed
0.05999999999999823,550.0,0.8076647346598156,1.1480089227578552,1.1377715246734565,0.010237398084398608,46.523666939938664,Inf,65.11002917274509,4015.8600804061043,fixed
0.07999999999999742,550.0,0.8059854816244998,1.1519910180118555,1.1369824464503127,0.015008571561542894,40.7497378779204,Inf,65.12450982610896,3944.8858387490513,fixed
0.0999999999999966,550.0,0.8041848970745619,1.1553427394516584,1.1361351361345742,0.019207603317084265,36.15851321245037,Inf,65.14418809971295,3878.3016283911197,fixed
0.11999999999999579,550.0,0.8023957696149345,1.1586387098121904,1.1352919635975578,0.02334674621463262,31.728535134992867,Inf,65.16854823534507,3820.139465883335,fixed
0.14000000000000018,550.0,0.8008492210882584,1.1620372296597823,1.1345621020876664,0.0274751275721159,26.174086963501747,Inf,65.19768521999283,3854.8906388053792,fixed
0.1600000000000063,550.0,0.7998961698175965,1.1655781224685053,1.1341118612513548,0.03146626121715057,22.592496885519093,Inf,65.23146852281332,3926.2083171061754,fixed
0.18000000000001243,550.0,0.7999646732620203,1.169475874378092,1.1341442355994584,0.035331638778633545,20.240532627167845,Inf,65.26975165915783,4058.3882126543012,fixed
0.20000000000001855,550.0,0.8015637269516265,1.1749438855501566,1.1348994149836429,0.040044470566513723,17.31208759312485,Inf,65.312789802984,4255.267359096009,fixed
0.22000000000002468,550.0,0.8053377058016924,1.1811932243505239,1.1366777647253594,0.044515459625164455,15.3056584557408,Inf,65.36109213427856,4489.66452011893,fixed
0.2400000000000308,550.0,0.8120687732576506,1.2064038428966382,1.1398357927479639,0.06656805014867428,14.334889850406787,Inf,65.42217004504775,4750.015394872148,fixed
0.26000000000003,550.0,0.8226866386845272,1.2514958449722362,1.1447821124462565,0.10671373252597971,13.104875962084568,Inf,65.52075105837663,5052.032426921513,fixed
0.28000000000002223,550.0,0.8383544147711715,1.2999745039723314,1.1520037834101313,0.14797072056220006,12.053925513963245,Inf,65.66701241862754,5406.111647147873,fixed
0.3000000000000145,550.0,0.8605192472685769,1.348687317236513,1.162068020317057,0.186619296919456,11.385620447191423,Inf,65.85891401265495,5809.415144549417,fixed
0.3200000000000067,550.0,0.8909005411676488,1.399348613862761,1.175586060413242,0.22376255344951912,10.637491534049177,Inf,66.09432320633131,6280.832382649023,fixed
0.33999999999999897,550.0,0.9315273412947407,1.449476471155916,1.1931907804087012,0.25628569074721486,10.031927738237584,Inf,66.37002504133633,6775.9164212061505,fixed
0.3599999999999912,550.0,0.9847357101330538,1.4977500998821984,1.215489605616381,0.28226049426581734,9.738901278179151,Inf,66.67921583440379,7308.770483263263,fixed
0.37999999999998346,550.0,1.0530085492577554,1.5448800348788205,1.2429547525202527,0.30192528235856786,9.611886967386917,Inf,67.0145782919885,7851.150732488616,fixed
