t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
18.0000,-0.185565,-1.027001,1.043631,-0.248690,-1.351325,1.374018,103.8606,152.7322,0.0000,608.8867,12.3767,13.673650,5.6657,0
18.4999,-0.194926,-1.030487,1.048761,-0.260176,-1.360543,1.385196,104.5277,152.3999,47.8343,608.0256,14.0670,13.694512,5.6917,0
18.9999,-0.183402,-1.039448,1.055503,-0.243034,-1.374651,1.395969,90.2854,153.7054,96.1514,597.7581,14.1283,13.667622,5.6582,0
19.4999,-0.183582,-1.034110,1.050279,-0.242912,-1.364630,1.386082,94.9312,153.6547,7.8587,599.2107,14.9874,13.661467,5.6506,0
19.9999,-0.195120,-1.025358,1.043758,-0.262393,-1.349025,1.374307,106.3874,152.5020,0.0000,611.8648,11.8425,13.680724,5.6745,0
20.5000,-0.198593,-1.033645,1.052550,-0.263918,-1.365766,1.391032,104.6058,152.6158,81.8550,604.8320,13.8154,13.689360,5.6853,0
21.0000,-0.188645,-1.038824,1.055814,-0.249730,-1.373712,1.396227,91.6444,153.8764,82.3750,597.9432,13.9982,13.665741,5.6559,0
21.5000,-0.191501,-1.031332,1.048961,-0.253934,-1.359583,1.383094,97.0856,153.4415,0.0000,601.3239,15.2103,13.662574,5.6520,0
22.0000,-0.204428,-1.024737,1.044929,-0.275305,-1.348839,1.376648,108.2218,152.3472,0.0000,613.6047,11.8036,13.687938,5.6835,0
22.5000,-0.201267,-1.036122,1.055489,-0.267204,-1.369541,1.395364,98.9763,152.9399,100.2828,600.1530,13.6813,13.682431,5.6767,0
23.0000,-0.194390,-1.037580,1.055633,-0.257094,-1.371595,1.395482,92.6739,153.9356,57.5802,597.7776,13.9882,13.664116,5.6539,0
23.4999,-0.199906,-1.028537,1.047784,-0.265939,-1.354576,1.380434,99.8036,153.1843,0.0000,604.0994,13.7959,13.665631,5.6558,0
23.9999,-0.212795,-1.025401,1.047248,-0.286144,-1.351057,1.381027,108.3622,152.3062,1.2797,613.1649,12.5642,13.693292,5.6902,0
24.4999,-0.204411,-1.037389,1.057336,-0.271116,-1.371618,1.398156,92.6284,153.3364,99.3107,597.9327,13.8743,13.674648,5.6670,0
24.9999,-0.200580,-1.035699,1.054943,-0.265157,-1.368328,1.393782,93.2374,153.9085,36.3147,597.7778,14.3715,13.662332,5.6517,0
25.5000,-0.208712,-1.025955,1.046969,-0.278740,-1.350144,1.378617,102.7251,152.9116,0.0000,607.4109,12.7008,13.670658,5.6620,0
26.0000,-0.219498,-1.027374,1.050560,-0.293570,-1.355582,1.387006,105.6972,152.4061,33.1096,609.8621,13.9129,13.694799,5.6921,0
26.5000,-0.208297,-1.037659,1.058359,-0.276044,-1.372230,1.399720,90.1554,153.6854,97.2851,597.6794,14.0937,13.668689,5.6596,0
27.0000,-0.207247,-1.033281,1.053860,-0.274060,-1.364037,1.391297,94.2719,153.8001,12.1336,598.5572,14.8765,13.661202,5.6503,0
27.5000,-0.217717,-1.023911,1.046802,-0.291791,-1.347022,1.378263,105.3624,152.6680,0.0000,610.5922,11.9901,13.677190,5.6701,0
28.0000,-0.223755,-1.030291,1.054308,-0.297386,-1.361043,1.393153,105.0499,152.6062,70.4089,606.9147,13.8374,13.691136,5.6875,0
28.5000,-0.212858,-1.037224,1.058840,-0.281864,-1.371685,1.400345,91.0071,153.9076,90.2555,597.9296,14.0731,13.666099,5.6564,0
28.9999,-0.214414,-1.030543,1.052612,-0.283921,-1.359105,1.388445,96.0858,153.6192,0.9617,600.2558,15.1583,13.661491,5.6506,0
29.4999,-0.226652,-1.022737,1.047550,-0.304427,-1.345784,1.379786,107.5111,152.4856,0.0000,612.8968,11.7376,13.684384,5.6791,0
29.9999,-0.226178,-1.033134,1.057602,-0.300240,-1.365381,1.398002,101.7351,152.8800,96.9091,601.8572,13.6905,13.684936,5.6798,0
