t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
1.8502,-0.183987,-1.227767,1.241476,-0.096220,-0.269910,0.286548,127.4711,135.3145,0.0000,271.4003,9.9225,14.647630,6.9647,0
1.9002,-0.286988,-1.202114,1.235897,-1.144161,-0.212633,1.163752,219.7950,256.8783,0.0000,11.3791,12.6483,13.707019,5.7073,0
1.9502,-0.388741,-1.213347,1.274100,-1.740088,-1.043629,2.029056,466.7037,313.3172,0.0000,438.0393,17.4549,12.724485,4.5659,0
2.0002,-0.500715,-1.246828,1.343613,-1.214676,-1.780606,2.155457,59.6492,236.3129,0.0000,431.7440,3.5406,13.248393,5.1534,0
2.0502,-0.611247,-1.334105,1.467467,-0.532504,-1.653045,1.736698,500.8866,84.0084,0.0000,442.6867,3.8603,12.892605,4.7493,0
2.1002,-0.686754,-1.461314,1.614642,-0.620825,-1.609920,1.725476,254.5058,75.1027,0.0000,779.0105,4.4417,13.146522,5.0354,0
2.1502,-0.687183,-1.644261,1.782081,-0.764364,-1.611552,1.783635,138.0268,182.1714,0.0000,629.8225,4.1772,12.858899,4.7121,0
2.2002,-0.563026,-1.813505,1.898894,-1.002043,-1.481246,1.788346,349.8495,256.5681,0.0000,876.9420,4.1994,13.949949,6.0162,0
2.2502,-0.358700,-1.862177,1.896410,-0.942350,-1.531540,1.798231,353.3888,264.4961,0.0000,1057.2214,1.6814,13.552779,5.5168,0
2.3002,-0.255732,-1.738036,1.756750,-0.208094,-1.609809,1.623203,663.0944,236.1276,0.0000,337.7441,7.3584,14.067028,6.1689,0
2.3502,-0.219010,-1.570379,1.585578,-0.524628,-1.418172,1.512099,234.1663,170.9883,0.0000,878.4382,4.4668,12.448357,4.2750,0
2.4002,-0.273215,-1.419692,1.445743,-0.940567,-1.465540,1.741400,284.4839,111.0537,0.0000,539.3437,9.5317,14.627213,6.9357,0
2.4502,-0.390594,-1.294906,1.352533,-0.873257,-1.702453,1.913354,54.3852,163.8516,0.0000,607.8818,4.2605,13.654974,5.6426,0
2.5003,-0.534904,-1.212581,1.325320,-0.562041,-1.527315,1.627446,132.6438,206.2788,0.0000,620.8760,5.7282,14.667126,6.9926,0
2.5503,-0.686521,-1.171449,1.357794,-0.295394,-1.072350,1.112292,314.3290,198.2824,0.0000,697.4281,2.3789,15.604834,8.4213,0
2.6003,-0.810337,-1.223612,1.467608,-0.599423,-0.268513,0.656816,304.0742,218.0019,0.0000,521.3291,2.4291,13.956458,6.0246,0
2.6503,-0.853110,-1.345529,1.593187,-1.618324,-0.085704,1.620592,241.3657,1437.9435,0.0000,580.7118,6.1216,13.506837,5.4609,0
2.7003,-0.817460,-1.460911,1.674067,-2.067201,-1.145964,2.363589,403.0144,317.1524,0.0000,535.3225,3.4808,12.757291,4.6013,0
2.7503,-0.747364,-1.535975,1.708149,-1.097429,-1.926696,2.217320,129.2382,245.5677,0.0000,336.4587,2.9801,13.127577,5.0137,0
2.8003,-0.630636,-1.562737,1.685185,-0.788307,-1.663862,1.841159,255.1215,84.9785,0.0000,1147.1323,4.2479,14.261685,6.4286,0
2.8503,-0.502248,-1.540604,1.620405,-1.049555,-1.625445,1.934848,287.7167,51.1143,0.0000,1055.9065,4.7679,13.426101,5.3636,0
2.9003,-0.376268,-1.513502,1.559572,-0.718795,-1.903506,2.034699,52.2845,198.6602,0.0000,883.2416,3.1147,13.247690,5.1526,0
2.9503,-0.252978,-1.480400,1.501859,-0.143475,-1.801638,1.807342,280.8506,295.3948,0.0000,1079.8334,5.0713,14.614743,6.9179,0
3.0003,-0.172095,-1.389590,1.400206,0.325883,-1.403913,1.441240,302.6005,220.1186,0.0000,663.8736,8.0482,14.863595,7.2774,0
3.0503,-0.150344,-1.294272,1.302975,0.208668,-0.666398,0.698304,287.1373,151.9457,0.0000,594.0521,3.4583,14.432031,6.6617,0
3.1003,-0.183597,-1.241651,1.255151,-0.558430,-0.313751,0.640534,230.8236,219.3272,0.0000,428.4253,4.0176,14.401048,6.6189,0
3.1503,-0.243973,-1.248181,1.271802,-1.360987,-0.757090,1.557392,358.2837,887.7805,0.0000,124.0693,5.9322,13.173466,5.0664,0
3.2003,-0.323617,-1.279847,1.320128,-1.228296,-1.620744,2.033599,116.7789,283.8358,0.0000,556.4513,7.3845,13.261315,5.1685,0
3.2503,-0.409426,-1.365889,1.425932,-0.548712,-1.860006,1.939254,92.3992,156.3254,0.0000,726.0724,2.8249,13.319148,5.2364,0
3.3003,-0.474048,-1.505287,1.578167,-0.491474,-1.723825,1.792517,436.4561,75.7397,0.0000,546.2964,2.6895,13.383534,5.3127,0
3.3503,-0.484127,-1.672406,1.741069,-0.573838,-2.013598,2.093769,232.4608,178.3141,0.0000,527.0574,7.1241,13.156004,5.0463,0
3.4003,-0.389836,-1.866299,1.906579,-0.545112,-1.942367,2.017409,183.4367,259.8233,0.0000,701.9585,4.2591,14.317186,6.5039,0
3.4504,-0.169020,-1.971309,1.978542,-0.614889,-1.688428,1.796908,674.9267,203.3498,0.0000,543.7536,8.0879,13.150222,5.0397,0
3.5004,0.030573,-1.881263,1.881512,-0.063200,-1.704528,1.705699,438.3233,213.2378,0.0000,766.2608,4.7276,14.344432,6.5411,0
3.5504,0.140346,-1.676634,1.682498,0.147187,-1.639319,1.645914,10.5990,222.3028,0.0000,272.3278,21.0619,13.135455,5.0227,0
3.6004,0.192620,-1.476154,1.488669,-0.038755,-1.522335,1.522828,335.3104,130.5650,0.0000,1190.6760,3.6804,15.985022,9.0520,0
3.6504,0.164153,-1.273596,1.284131,-0.277235,-1.563855,1.588239,185.5279,76.6178,0.0000,667.9894,3.5924,14.182172,6.3217,0
3.7004,0.087885,-1.107563,1.111044,-0.116526,-1.548923,1.553300,71.2685,133.8725,0.0000,520.7055,5.8615,14.710722,7.0551,0
3.7504,-0.028747,-1.015307,1.015714,0.143029,-1.193812,1.202349,359.8628,198.9686,0.0000,752.3934,4.0524,14.400194,6.6177,0
3.8004,-0.164752,-1.010165,1.023512,0.227898,-0.661047,0.699228,177.7583,241.3608,0.0000,413.9011,3.6067,13.217339,5.1172,0
3.8504,-0.266976,-1.106001,1.137768,-0.394411,-0.115167,0.410881,224.9166,246.1436,0.0000,475.3843,3.4935,13.418777,5.3548,0
3.9004,-0.282818,-1.253884,1.285384,-1.362194,-0.489505,1.447476,380.9258,319.4028,0.0000,365.5117,7.5945,13.150317,5.0398,0
3.9504,-0.248690,-1.372351,1.394702,-1.058310,-1.592382,1.911989,653.3725,316.1212,0.0000,501.3743,9.0442,12.924227,4.7843,0
4.0004,-0.186949,-1.442305,1.454371,-0.090156,-1.645392,1.647860,86.8343,208.4331,0.0000,1209.7460,3.7919,15.145315,7.6991,0
4.0504,-0.065547,-1.454915,1.456391,-0.244273,-1.438422,1.459016,427.6642,57.6156,0.0000,378.0929,3.4677,13.700358,5.6990,0
4.1004,0.072217,-1.426103,1.427930,-0.342852,-1.699365,1.733606,156.0396,125.0758,0.0000,154.1288,2.2536,13.182335,5.0767,0
4.1504,0.218908,-1.401423,1.418417,0.171330,-1.814978,1.823046,18.2505,295.6179,0.0000,670.7149,6.1518,13.633775,5.6163,0
4.2004,0.357009,-1.343974,1.390583,0.719588,-1.591124,1.746276,256.1026,275.5466,0.0000,272.0051,8.0286,14.801000,7.1858,0
4.2504,0.440404,-1.236179,1.312286,0.988918,-0.940715,1.364883,348.6184,129.7697,0.0000,299.9387,14.4605,15.144394,7.6977,0
4.3004,0.465940,-1.120738,1.213736,0.548979,-0.335518,0.643390,163.8271,133.6418,0.0000,720.4817,4.4166,14.781645,7.1577,0
4.3504,0.418669,-1.051328,1.131625,-0.287554,-0.327009,0.435456,204.9100,246.2920,0.0000,505.0214,6.2674,13.951610,6.0183,0
4.4004,0.331322,-1.026871,1.078999,-0.866546,-0.990158,1.315794,597.1683,314.2427,0.0000,232.1221,7.5014,13.170177,5.0627,0
4.4505,0.205243,-1.031620,1.051839,-0.501377,-1.663041,1.736975,58.5735,252.7363,0.0000,430.8606,6.8436,12.218446,4.0425,0
4.5005,0.068674,-1.110899,1.113020,0.030841,-1.666957,1.667243,133.0788,143.5878,0.0000,989.1194,2.0064,13.085431,4.9655,0
4.5505,-0.044962,-1.272930,1.273724,0.258572,-1.240154,1.266823,121.9118,131.6057,0.0000,485.0945,11.5593,13.596695,5.5706,0
4.6005,-0.078110,-1.492474,1.494517,0.036084,-0.879090,0.879830,228.1586,222.7595,0.0000,497.7783,4.7589,13.844618,5.8809,0
4.6505,0.026591,-1.706269,1.706476,-0.695959,-0.913279,1.148232,411.5119,287.0843,0.0000,927.2168,3.8417,14.899998,7.3310,0
4.7005,0.219742,-1.782425,1.795919,-0.769994,-1.761424,1.922369,1067.8780,310.7250,0.0000,713.6489,5.4878,13.437084,5.3767,0
4.7505,0.307921,-1.622632,1.651590,0.486354,-1.825457,1.889136,243.4750,181.2463,0.0000,543.3005,6.5629,15.162484,7.7253,0
