t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
21.0000,-0.277544,-0.917719,0.958769,-0.367210,-1.207282,1.261893,92.7646,154.4063,0.0000,599.1351,13.4618,13.644598,5.6297,0
21.5000,-0.277278,-0.914897,0.955992,-0.369542,-1.205445,1.260816,95.4541,154.4345,0.0000,598.8484,15.5312,13.640519,5.6247,0
22.0000,-0.278349,-0.909996,0.951615,-0.367965,-1.203499,1.258494,100.2751,153.9022,107.5101,601.4921,15.2521,13.643488,5.6283,0
22.5000,-0.280123,-0.913307,0.955300,-0.370133,-1.205823,1.261351,104.8687,153.6366,66.7346,600.4225,15.3524,13.650512,5.6370,0
23.0000,-0.277463,-0.917644,0.958674,-0.367485,-1.206889,1.261597,93.9373,154.4547,0.0000,599.1078,12.8283,13.644026,5.6290,0
23.4999,-0.277178,-0.914208,0.955303,-0.368834,-1.205941,1.261083,94.6911,154.4115,9.9903,600.7348,15.9600,13.642468,5.6271,0
23.9999,-0.278846,-0.909711,0.951487,-0.368614,-1.203048,1.258253,101.3986,153.8319,109.3416,602.2739,15.3592,13.643095,5.6278,0
24.4999,-0.279694,-0.914432,0.956250,-0.369391,-1.206566,1.261844,103.0535,153.7001,48.9387,600.8254,15.1541,13.650650,5.6372,0
24.9999,-0.277427,-0.917515,0.958540,-0.367850,-1.206459,1.261292,95.0869,154.4814,0.0000,598.6647,12.6050,13.644066,5.6290,0
25.5000,-0.277121,-0.913481,0.954591,-0.367762,-1.206608,1.261408,95.7606,154.3715,31.7423,600.3896,15.9062,13.643662,5.6285,0
26.0000,-0.279349,-0.909554,0.951486,-0.369283,-1.202761,1.258175,102.4988,153.7623,110.7817,600.7577,15.4898,13.644035,5.6290,0
26.5000,-0.279197,-0.915523,0.957148,-0.368584,-1.207188,1.262203,100.8568,153.7911,28.2760,600.4642,14.9414,13.649128,5.6353,0
27.0000,-0.277448,-0.917309,0.958349,-0.368317,-1.206024,1.261012,95.8760,154.4944,0.0000,598.5246,12.3553,13.644243,5.6293,0
27.5000,-0.277037,-0.912885,0.953996,-0.367004,-1.206732,1.261306,97.4393,154.3061,51.7320,601.2710,15.1157,13.643161,5.6279,0
28.0000,-0.279814,-0.909546,0.951615,-0.369916,-1.202669,1.258272,102.9916,153.7050,111.4221,601.6594,15.3818,13.644983,5.6302,0
28.5000,-0.278717,-0.916434,0.957881,-0.367868,-1.207619,1.262406,98.3986,153.8992,7.1592,597.7655,14.8447,13.648146,5.6341,0
28.9999,-0.277510,-0.917034,0.958104,-0.368834,-1.205645,1.260801,96.3838,154.4972,0.0000,599.1374,12.4395,13.643347,5.6282,0
29.4999,-0.276967,-0.912375,0.953488,-0.366602,-1.206439,1.260909,98.6369,154.2323,78.0655,599.1489,14.5205,13.641881,5.6263,0
29.9999,-0.280215,-0.909706,0.951885,-0.370484,-1.202787,1.258553,103.6116,153.6596,112.3014,603.1768,15.0263,13.645576,5.6309,0
30.5000,-0.278296,-0.917125,0.958418,-0.367321,-1.207852,1.262470,95.5203,154.0251,0.0000,598.4445,14.6662,13.647067,5.6328,0
31.0000,-0.277570,-0.916692,0.957794,-0.369347,-1.205346,1.260665,96.7698,154.4912,0.0000,598.1109,12.5347,13.641874,5.6263,0
31.5000,-0.277010,-0.911854,0.953001,-0.366474,-1.205926,1.260381,98.8705,154.1585,92.5926,598.7268,14.2623,13.642254,5.6268,0
32.0000,-0.280506,-0.910077,0.952325,-0.370918,-1.203141,1.259019,104.5327,153.6223,111.2931,602.4403,14.7913,13.646617,5.6322,0
32.5000,-0.277985,-0.917533,0.958719,-0.367026,-1.207892,1.262422,93.4738,154.1502,0.0000,599.2660,14.8115,13.645695,5.6311,0
33.0000,-0.277575,-0.916308,0.957428,-0.369736,-1.205163,1.260604,96.6680,154.4807,0.0000,597.9630,12.8390,13.640491,5.6246,0
33.5000,-0.277210,-0.911311,0.952540,-0.366611,-1.205294,1.259816,98.7231,154.0920,99.7129,601.2819,14.3665,13.641689,5.6261,0
