t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
23.5001,0.001861,2.797679,2.797679,0.338045,3.315824,3.333011,50.7359,0.0000,0.0000,409.0206,2.2627,12.259369,4.0833,0
24.0002,-0.438244,2.024487,2.071378,-0.449796,0.823022,0.937914,26.2814,0.0000,0.0000,768.5287,44.8481,10.136424,2.3081,0
24.5002,0.523506,2.492407,2.546792,-0.559137,3.164271,3.213292,2.6118,0.0000,0.0000,244.5360,7.1937,11.154255,3.0756,0
25.5001,-1.422145,1.812631,2.303938,-2.351264,2.461552,3.404068,436.5557,0.0000,0.0000,1892.0046,3.2610,16.535009,10.0188,0
26.0001,-0.742900,1.845458,1.989376,-0.860841,4.186524,4.274112,46.4056,277.5168,0.0000,2653.6347,1.0252,15.915666,8.9347,0
26.5001,-1.323678,2.042044,2.433530,-1.015636,3.345550,3.496316,7.3428,0.0000,0.0000,1101.6764,6.6300,12.998648,4.8674,0
27.0001,-0.718174,1.514817,1.676438,-1.902962,2.011999,2.769369,639.3037,283.3013,0.0000,2055.2160,3.8348,12.098618,3.9247,0
27.5001,-0.771402,1.689482,1.857259,-2.529702,2.311929,3.427012,323.9517,144.7727,0.0000,3390.4660,6.3486,12.447849,4.2745,0
28.0001,-0.752635,1.496478,1.675083,-2.314540,2.176431,3.177097,271.6055,148.3248,0.0000,4627.9626,3.3554,11.941214,3.7735,0
28.5002,-0.018908,3.315165,3.315218,1.727318,5.619914,5.879376,112.9742,212.2037,0.0000,1738.2920,0.8018,16.359264,9.7027,0
29.0002,0.078657,2.673171,2.674328,-0.017588,4.020501,4.020540,10.8825,0.0000,0.0000,572.5362,5.4617,10.907060,2.8756,0
29.5002,-0.342309,1.856535,1.887829,0.485202,3.333684,3.368809,482.4162,201.1658,0.0000,151.6589,1.1833,10.149769,2.3172,0
30.5001,-0.070320,1.994567,1.995806,0.389118,1.982023,2.019858,53.1357,0.0000,0.0000,0.0000,2.9636,11.378080,3.2645,0
31.0001,0.237731,2.545431,2.556509,0.583734,3.611161,3.658036,93.3896,0.0000,0.0000,0.0000,0.9864,11.700401,3.5498,0
31.5001,-0.222226,1.867970,1.881142,0.615222,3.787196,3.836842,465.9287,2835.1151,0.0000,46.7360,0.8336,18.538633,11.5866,0
32.0001,1.205725,2.422921,2.706348,2.214510,2.045926,3.014941,3.0067,0.0000,0.0000,0.0000,13.1803,10.416892,2.5051,0
32.5001,0.674574,2.054299,2.162220,-0.847938,3.815555,3.908639,11.3123,0.0000,0.0000,495.5479,2.6414,12.135965,3.9612,0
33.0002,0.225567,1.983542,1.996326,2.070151,2.224214,3.038528,13.9939,45.5670,0.0000,0.0000,5.7828,11.047983,2.9885,0
33.5002,0.223703,2.361834,2.372404,-0.134296,3.180738,3.183572,2.6909,0.0000,0.0000,260.9188,2.9695,10.788651,2.7829,0
34.0002,0.462589,2.816033,2.853775,1.364697,1.922038,2.357251,188.6990,0.0000,0.0000,0.0000,0.6741,14.987332,7.4606,0
34.5002,0.423540,1.969367,2.014396,0.682791,3.476128,3.542551,506.0292,302.1878,0.0000,0.0000,3.0262,13.103853,4.9865,0
35.5001,1.098317,2.521754,2.750553,-0.576979,2.590855,2.654324,1000.3924,295.3527,0.0000,1517.2919,3.8060,13.997515,6.0779,0
36.0001,-0.354065,0.987217,1.048789,-0.829419,2.158802,2.312652,498.5223,75.1500,0.0000,1380.7322,7.9712,11.571509,3.4338,0
36.5001,-0.625556,2.178971,2.266988,0.445356,2.837228,2.871968,33.0577,0.0000,0.0000,114.6980,3.9112,11.063865,3.0014,0
37.0001,-0.172743,2.874172,2.879358,0.371450,3.903992,3.921623,265.1370,0.0000,0.0000,0.0000,4.5774,11.524409,3.3920,0
37.5002,0.406790,1.765814,1.812064,-0.532521,5.494257,5.520003,157.0677,117.8928,0.0000,1311.8940,0.3951,20.916699,13.0729,0
38.0002,-1.038708,3.233716,3.396444,1.633706,4.020822,4.340047,98.0477,0.0000,0.0000,538.7561,2.4961,11.617303,3.4747,0
38.5002,-0.370825,2.879729,2.903507,2.366047,5.206505,5.718905,114.3591,0.0000,0.0000,1394.2803,0.8451,18.683994,11.6775,0
39.0002,-0.307561,1.429927,1.462630,-0.625728,2.453325,2.531865,38.5642,0.0000,0.0000,520.1884,0.9640,13.717102,5.7199,0
39.5002,-0.147373,2.533966,2.538247,-0.819706,2.366995,2.504912,121.0971,156.5586,0.0000,514.0888,7.2608,11.348267,3.2389,0
40.5001,-0.924104,1.840157,2.059161,1.637541,4.752662,5.026861,98.9470,150.0609,0.0000,1412.1827,1.1637,17.133636,10.7085,0
41.0001,-1.199018,2.930562,3.166360,-1.565583,2.947916,3.337852,49.5720,190.3257,0.0000,340.2383,8.0107,10.339746,2.4498,0
41.5001,-0.637381,1.529037,1.656565,-1.274792,1.790318,2.197802,65.0425,64.1977,0.0000,1104.4589,3.3784,13.134786,5.0219,0
42.0002,-0.073873,2.440756,2.441874,0.298112,4.302087,4.312404,41.1385,137.7054,0.0000,2615.9703,2.3616,10.096433,2.2809,0
42.5002,-0.239199,2.526155,2.537455,-0.282148,4.033242,4.043099,32.5040,117.3065,0.0000,0.0000,4.3582,10.731060,2.7386,0
43.0002,-0.772344,2.144979,2.279792,-2.532332,2.725521,3.720372,64.5170,11.3611,0.0000,1032.4811,2.0700,11.746650,3.5921,0
43.5002,-0.729375,3.527502,3.602119,-0.124777,5.863333,5.864661,84.7944,205.6114,0.0000,1753.0210,0.5932,16.397919,9.7717,0
44.0002,-1.052395,2.185639,2.425810,-2.159812,3.353420,3.988761,19.9362,0.0000,0.0000,1933.0462,4.6120,11.782646,3.6252,0
44.5002,-0.121016,2.774837,2.777475,0.007918,5.065849,5.065855,85.4864,0.0000,0.0000,3102.1538,4.9369,14.358176,6.5600,0
45.5001,0.078302,2.727840,2.728963,0.156584,4.051864,4.054889,157.0659,145.7147,0.0000,2149.2068,11.0768,12.063749,3.8909,0
46.0001,0.273908,3.159486,3.171337,0.020601,4.748591,4.748636,8.7770,0.0000,0.0000,200.1321,1.2322,12.045443,3.8732,0
46.5002,-0.322125,3.266915,3.282757,1.249568,2.887520,3.146298,0.0000,58.9092,0.0000,195.6118,10.1424,10.672183,2.6938,0
47.0002,0.323642,3.067823,3.084847,-1.469030,2.759732,3.126366,45.6962,0.0000,0.0000,720.5085,4.8671,11.515999,3.3846,0
47.5002,-0.256530,2.565779,2.578572,2.045882,3.106022,3.719275,195.1543,0.0000,0.0000,81.3690,4.3991,12.088208,3.9146,0
48.0002,0.581825,2.658862,2.721776,1.621680,3.747047,4.082916,754.1850,259.9335,0.0000,574.3586,2.3310,15.178173,7.7493,0
48.5002,-0.081326,2.429576,2.430937,0.554363,4.792947,4.824900,441.1457,232.5249,0.0000,358.4553,1.8817,18.424339,11.5152,0
49.0002,0.103348,3.126808,3.128516,1.437966,2.668611,3.031374,55.9366,9.5950,0.0000,517.5407,4.5861,9.786126,2.0770,0
49.5002,-0.025083,2.314209,2.314345,0.216132,2.848554,2.856742,52.1021,0.0000,0.0000,0.0000,1.4773,10.675878,2.6966,0
50.5001,0.476173,2.705542,2.747126,0.423625,4.301152,4.321963,250.5890,119.2406,0.0000,0.0000,9.6021,11.695192,3.5451,0
51.0002,0.642728,2.844826,2.916527,0.408960,2.874699,2.903643,60.7746,0.0000,0.0000,0.0000,6.7506,11.624571,3.4812,0
51.5002,0.606795,2.902958,2.965698,-0.568877,5.733352,5.761506,51.3476,138.5616,0.0000,163.8166,8.6269,13.659131,5.6477,0
52.0002,0.082857,2.909256,2.910436,0.163227,3.196909,3.201073,91.2022,0.0000,0.0000,270.6765,21.8611,10.897493,2.8680,0
52.5002,-0.769676,1.964547,2.109940,-0.756711,3.673690,3.750815,19.4481,0.0000,0.0000,279.8324,4.4165,11.077564,3.0126,0
