t,bridle_l1,bridle_l2,bridle_l3,cyan,topbay,hub_lat
0.050,24.2484,59.5045,50.9449,118.0447,569.0090,0.01968
0.100,24.8236,87.3247,36.6548,128.3152,579.0663,0.06757
0.150,44.6648,97.6534,5.0442,127.4179,553.2019,0.13815
0.200,81.6722,79.3830,0.0000,125.9320,558.0430,0.22388
0.250,118.1267,42.1027,0.0000,135.0570,568.7963,0.32021
0.300,129.8274,1.2665,33.2999,142.8404,569.0723,0.42249
0.350,108.8400,0.0000,84.4245,148.9819,576.4840,0.52588
0.400,64.2559,0.0000,128.1737,158.1873,590.2004,0.62724
0.450,18.3481,27.7151,143.6999,167.8873,599.0190,0.72366
0.500,0.0000,80.1717,125.8967,176.2027,607.4267,0.81206
0.550,0.0000,123.5350,84.0632,183.3403,614.7267,0.89071
0.600,29.5146,139.2882,39.6682,188.1430,620.0774,0.95864
0.650,72.5755,124.7565,12.4638,190.3701,621.5543,1.01529
0.700,77.4206,55.8672,0.0000,186.7087,622.1765,1.06065
0.750,108.8618,44.0262,24.1089,184.7751,624.0514,1.08731
0.800,95.8965,29.9198,66.1363,175.8475,621.0312,1.10316
0.850,11.6974,0.0000,26.9723,160.1684,615.3735,1.11718
0.900,0.0000,0.0000,7.6942,156.2711,613.7169,1.11034
0.950,37.8284,63.9013,59.5391,146.8503,613.6350,1.09542
1.000,0.0000,34.1114,26.1037,145.8944,611.9831,1.08930
1.050,0.0000,60.8410,24.0592,147.6517,614.1766,1.08280
1.100,54.6455,73.2228,29.8671,144.0123,619.7223,1.08239
1.150,66.4277,70.8531,23.0934,145.9034,617.6156,1.09228
1.200,27.4707,0.0000,0.0000,148.5467,616.6061,1.10317
1.250,82.0298,31.2540,52.0535,151.7466,619.4905,1.11031
1.300,55.7739,0.0000,50.5812,156.5551,623.6537,1.11861
1.350,0.0000,0.0000,1.7769,147.5608,623.1196,1.11850
1.400,38.7420,53.6677,66.7656,146.8519,610.4748,1.10948
1.450,0.0000,49.9647,57.9096,150.9051,622.0947,1.10302
1.500,0.0000,47.4215,16.3170,146.7819,621.9375,1.09966
1.550,46.1215,71.5231,36.4867,142.5477,618.5234,1.09856
1.600,59.5779,77.9878,25.4576,148.9075,618.8546,1.10268
1.650,29.4741,0.0000,0.0000,147.4698,621.5683,1.11063
1.700,78.7806,35.6374,41.8231,150.6695,623.0525,1.11286
1.750,74.2620,19.2714,60.2488,154.1623,625.0184,1.11455
1.800,0.0000,0.0000,6.9436,143.3098,618.3368,1.11674
1.850,41.3797,42.4175,69.3589,147.3289,622.1094,1.10887
1.900,29.6249,60.0400,74.9083,152.3665,625.2302,1.10164
1.950,0.0000,48.3731,26.6300,143.6062,620.3290,1.10310
2.000,31.9366,74.0715,38.4206,145.7496,621.5337,1.10459
2.050,57.6695,79.5198,28.3940,151.2458,623.8461,1.10756
2.100,28.3421,5.7208,0.0000,145.4020,622.6402,1.11527
2.150,71.5992,35.1098,23.5410,150.2053,625.6561,1.11398
2.200,73.9163,32.0448,59.9096,151.8953,623.0259,1.11077
2.250,0.3184,0.0000,20.4726,140.8185,622.0257,1.11316
2.300,39.0060,22.9646,68.1436,147.7692,624.6742,1.10744
2.350,32.4649,58.0327,74.3063,150.5717,623.4618,1.10185
2.400,0.0000,46.8446,33.4570,142.1026,622.1912,1.10576
