t_s,P_kw,ω_rpm,min_fos,worst_ring,fos_worst,n_failing,collapse_margin_deg,max_twist_deg,T_max_kN,P_aero_kw
1.000000000000437,5.639143995132781,60.37247728086326,32.85775615544701,20,32.85775615544701,0,46.0174832720012,4.463865172251582,2.878606120803143,14.749378102568576
2.000000000001437,7.300005121952424,64.62196852078603,38.20294644064419,12,38.20294644064419,0,45.35279282534529,5.128555618907492,3.3493131457252647,16.466389201446688
2.999999999996886,9.394364844084992,64.82553307072942,37.71785649610213,12,37.71785649610213,0,45.466334155852834,5.015014288399949,3.3123130802139493,17.18443476312232
3.999999999992335,10.502670580921368,69.64373704954711,33.6922717395834,20,33.6922717395834,0,45.938381169951796,4.542967274300984,3.4499183900473582,17.81746762368839
4.999999999998886,11.58093612878155,72.07400619395924,41.57004884063256,12,41.57004884063256,0,46.07081412557514,4.410534318677641,3.783994839594495,18.42305352363809
6.000000000005437,12.576012132742878,73.27397067697405,44.965336457497635,12,44.965336457497635,0,46.28166974025085,4.199678704001929,3.8039427872758815,18.756232248622236
7.000000000011989,13.157583277748046,75.20811850182187,43.29789182634818,12,43.29789182634818,0,46.46869291006825,4.0126555341845345,4.049618305128711,19.039775505545713
8.00000000001854,13.69889416655087,76.28193086091888,43.48146652213691,12,43.48146652213691,0,46.529701158618685,3.9516472856340967,4.182220333127313,19.252641857516068
9.000000000025091,14.151430836440749,76.93587144961079,46.30078584509919,12,46.30078584509919,0,46.60149627405444,3.8798521701983386,4.188456591514578,19.409239464183276
10.000000000031642,14.442982298367076,77.65856553862481,49.6513737122364,12,49.6513737122364,0,46.662856279299234,3.818492164953548,4.182986279488804,19.536778519636176
11.000000000038193,14.68430354893475,78.14663472588575,52.386585588602536,12,52.386585588602536,0,46.686870807212834,3.79447763703995,4.182072256224332,19.631107718484238
12.000000000044745,14.88720228530888,78.43565529450404,52.85913442320226,12,52.85913442320226,0,46.70877991220471,3.7725685320480684,4.244454685543567,19.69274507426901
13.000000000051296,15.024670444246402,78.70925704569152,51.55927019483603,12,51.55927019483603,0,46.73189806117015,3.7494503830826305,4.285990403993471,19.73890263551236
14.000000000057847,15.126367010063712,78.93186546890854,50.807564199571594,12,50.807564199571594,0,46.743397083564304,3.737951360688474,4.314256952941273,19.77455481132258
15.000000000064398,15.2132829111459,79.0685393464341,50.5399721705068,12,50.5399721705068,0,46.74955252658396,3.7317959176688222,4.327346853514945,19.79873225877555
16.000000000070948,15.278554801322333,79.17383027746934,50.70851006226566,12,50.70851006226566,0,46.75680016451059,3.7245482797421925,4.331013218125596,19.815181149086776
17.00000000003309,15.324511667282039,79.2706543056663,51.09640665808173,12,51.09640665808173,0,46.76193495966269,3.719413484590092,4.329654275500626,19.827571977079263
17.999999999995232,15.362256854128384,79.34244550847059,51.59183998166656,12,51.59183998166656,0,46.76365419914401,3.7176942451087736,4.32416725168822,19.83637324888817
18.999999999957375,15.394592925926316,79.39189588398966,52.21280308814664,12,52.21280308814664,0,46.764680604058576,3.7166678401942037,4.350044123452782,19.841955617108667
19.999999999919517,15.419843101566165,79.4351595602225,52.95975083379338,12,52.95975083379338,0,46.76588894241839,3.715459501834387,4.384759458197721,19.84566754644371
20.99999999988166,15.440080428264551,79.47528547025719,53.76944006405392,12,53.76944006405392,0,46.766192583090806,3.715155861161973,4.418709281832905,19.848294362810098
21.9999999998438,15.458594330203535,79.50816802367663,54.60797733502988,12,54.60797733502988,0,46.765538430305924,3.715810013946854,4.451519236276264,19.84997985470266
22.999999999805944,15.475991432421829,79.53555600739678,55.153364451323455,2,55.153364451323455,0,46.76476526998859,3.716583174264192,4.48290718134825,19.851015990170573
23.999999999768086,15.491778646161048,79.56196829613233,53.08028322116921,2,53.08028322116921,0,46.76407710461697,3.7172713396358072,4.513213927918746,19.851717335923045
24.99999999973023,15.506564694454642,79.58834448561494,51.21037467429546,2,51.21037467429546,0,46.76316037085898,3.7181880733938013,4.542694714063344,19.852231822442736
25.99999999969237,15.52134923771183,79.61350598458866,49.5176769470996,2,49.5176769470996,0,46.76199293485006,3.7193555094027184,4.571294074159344,19.852702135980355
26.999999999654513,15.536324037837732,79.63760323762759,47.99269654872238,2,47.99269654872238,0,46.76082433236717,3.720524111885612,4.598894132554496,19.853195782761482
27.999999999616655,15.551211388055417,79.66178500379355,46.62245941509049,2,46.62245941509049,0,46.759763322108995,3.721585122143788,4.625520875908478,19.85368098614028
28.999999999578797,15.566007640846157,79.68642004508916,45.38436170509622,2,45.38436170509622,0,46.75874250856762,3.722605935685161,4.651318601287551,19.854207755887415
29.99999999954094,15.580912074439356,79.71104574028972,44.261530075321915,2,44.261530075321915,0,46.75772361161201,3.7236248326407706,4.676350796939545,19.854839295954545
30.999999999503082,15.595929947801483,79.7353432239532,43.24422040982162,2,43.24422040982162,0,46.756764674943064,3.724583769309719,4.700578815510751,19.855505610231702
31.999999999465224,15.610865627911936,79.75938782917163,42.31917866207262,2,42.31917866207262,0,46.75592995771486,3.7254184865379187,4.7240444618175506,19.856140163154542
32.99999999942737,15.62554675578753,79.78319980003958,41.47195014715526,2,41.47195014715526,0,46.7552189749719,3.7261294692808775,4.746873308565809,19.856764506564417
33.99999999938951,15.639893270033541,79.80652744228067,40.69300220508331,2,40.69300220508331,0,46.75460044056121,3.7267480036915686,4.769130611717213,19.857352447886377
34.99999999935165,15.653831076750897,79.8290615800504,39.973448762890705,2,39.973448762890705,0,46.754075014934074,3.7272734293187035,4.790840350964227,19.857821641087618
35.99999999931379,15.667232535863127,79.85062362306873,39.30303019352288,2,39.30303019352288,0,46.75366756031362,3.7276808839391555,4.812069715179818,19.858146139881928
36.999999999275936,15.679949619451493,79.87111013601528,38.67456503799483,2,38.67456503799483,0,46.75338089427925,3.727967549973525,4.832887493263091,19.85832074924246
37.99999999923808,15.691875221792106,79.89038263226897,38.083078069248636,2,38.083078069248636,0,46.75319517345596,3.728153270796824,4.853325341163165,19.858294112281783
38.99999999920022,15.70294893385914,79.90827762838117,37.52226341787443,2,37.52226341787443,0,46.753099538376034,3.7282489058767454,4.873418555694622,19.858028356944608
39.99999999916236,15.713116714366972,79.9246755993366,36.98672794266986,2,36.98672794266986,0,46.753094158729866,3.7282542855229117,4.893207979344931,19.857528612466766
40.999999999124505,15.722319503844934,79.9395184060438,36.474004772183065,2,36.474004772183065,0,46.75317287666722,3.728175567585562,4.912705888397452,19.856782857082457
41.99999999908665,15.730521623086872,79.95277775462291,35.981639972319435,2,35.981639972319435,0,46.7533236078211,3.72802483643168,4.931915508975361,19.85576266414865
42.99999999904879,15.73772183460276,79.96443574716281,35.50631635269227,2,35.50631635269227,0,46.753536944491415,3.7278114997613643,4.950854962967287,19.854472997147877
43.99999999901093,15.745920049519144,79.97532785949893,35.363068726507464,2,35.363068726507464,0,46.75449841349012,3.7268500307626655,4.970398846882954,19.856532766207607
44.999999998973074,15.756960074291284,79.9885053751788,35.3878551600354,2,35.3878551600354,0,46.75697173000954,3.724376714243245,5.0115135673379,19.870794825394043
45.999999998935216,15.765219705504114,80.00254419536284,32.35500745589413,13,32.35500745589413,0,46.75961271807308,3.7217357261797037,5.127686482630442,19.89235744565772
46.99999999889736,15.768717443048178,80.01214016801056,30.50560905282035,13,30.50560905282035,0,46.7612993598966,3.7200490843561855,5.218572059934868,19.912562108030837
47.9999999988595,15.767258019032786,80.01229911130515,30.353338553986134,13,30.353338553986134,0,46.76205035293535,3.719298091317435,5.29837129716336,19.92997704033175
