island,mass_kg,fos,feasible
1,11.470082686671017,1.8000000000000012,true
2,11.470082686671017,1.8000000000000025,true
3,11.470082686671017,1.8000000000000025,true
4,11.470082686671017,1.8000000000000025,true
5,11.470082686671017,1.8000000000000025,true
6,11.470082686671017,1.8000000000000025,true
7,11.470082686671017,1.8000000000000025,true
8,11.470082686671017,1.8000000000000012,true
9,11.470082686671017,1.8000000000000012,true
10,11.470082686671017,1.8000000000000025,true
11,11.470082686671015,1.8000000000000005,true
12,11.470082686671015,1.8000000000000005,true
13,11.470082686671015,1.8000000000000005,true
14,11.470082686671015,1.8000000000000005,true
15,11.470082686671015,1.8000000000000005,true
16,11.470082686671015,1.8000000000000005,true
17,11.47008268667102,1.8000000000000005,true
18,11.470082686671015,1.8000000000000005,true
19,11.470082686671015,1.8000000000000005,true
20,11.470082686671015,1.8000000000000005,true
21,85.77742083967772,1.8,true
22,85.77742083967772,1.8,true
23,85.77742083967772,1.8000000000000003,true
24,85.77742083967772,1.8000000000000003,true
25,85.77742083967772,1.8000000000000003,true
26,85.77742083967772,1.8000000000000003,true
27,85.77742083967772,1.8000000000000003,true
28,85.77742083967772,1.8000000000000003,true
29,85.77742083967772,1.8000000000000003,true
30,85.77742083967772,1.8000000000000003,true
31,39.29458123999282,1.8000000000000003,true
32,39.29458123999282,1.8000000000000003,true
33,39.294581239992844,1.8000000000000016,true
34,39.29458123999282,1.8000000000000014,true
35,39.294581239992844,1.8000000000000034,true
36,39.294581239992844,1.8000000000000007,true
37,39.29458123999282,1.8000000000000003,true
38,39.29458123999282,1.8000000000000003,true
39,39.29458123999282,1.8000000000000003,true
40,39.29458123999282,1.8000000000000003,true
41,39.29458123999284,1.8000000000000016,true
42,39.29458123999283,1.8000000000000005,true
43,39.29458123999283,1.8000000000000005,true
44,39.29458123999283,1.8000000000000005,true
45,39.29458123999283,1.8000000000000005,true
46,39.29458123999283,1.8000000000000005,true
47,39.29458123999283,1.8000000000000005,true
48,39.294581239992816,1.8000000000000003,true
49,39.29458123999283,1.8000000000000005,true
50,39.29458123999283,1.8000000000000005,true
51,226.94499018819528,1.8,true
52,226.94499018819528,1.8,true
53,226.94499018819528,1.8,true
54,226.94499018819528,1.8,true
55,226.94499018819528,1.8,true
56,226.94499018819528,1.8,true
57,226.94499018819528,1.8,true
58,226.94499018819528,1.8,true
59,226.94499018819528,1.8,true
60,226.9449901881953,1.8,true
