# v12_5kw_v3 telemetry  length=21.2  min_clearance=1.5
island,gen,idx,fitness,status,P_kW,FoS,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,clearance,tether
1,0,1,1.0e9,reject,0.0,0.0,6,0,0,0.91,0.63,15.0,15.0,0.519,0.1,3.65,21.2
1,0,2,1.0e9,reject,0.0,0.0,13,0,0,1.25,0.62,0.7,1.7,0.699,0.517,1.72,21.2
1,0,3,1.0e9,reject,0.0,0.0,9,0,0,2.1,0.36,15.6,17.4,0.17,0.711,7.72,21.2
1,0,4,1.0e9,clearance_reject,0.0,0.0,9,0,0,1.8,0.93,12.0,18.6,0.907,0.705,0.47,21.2
1,0,5,1.0e9,reject,0.0,0.0,7,0,0,0.58,0.32,1.5,11.1,0.562,0.379,2.43,21.2
1,0,6,1.0e9,clearance_reject,0.0,0.0,14,0,0,0.98,0.88,16.5,3.3,0.307,0.615,-2.49,21.2
1,0,7,1.0e9,reject,0.0,0.0,3,0,0,0.6,0.93,2.6,20.0,0.699,0.511,3.29,21.2
1,0,8,1.0e9,reject,0.0,0.0,6,0,0,1.05,0.32,11.5,3.1,0.732,0.975,5.56,21.2
1,0,9,1.0e9,clearance_reject,0.0,0.0,7,0,0,0.91,0.52,16.3,21.2,0.377,0.518,-1.34,21.2
