island,iteration,fitness
1,1,62.14093089490461
1,2,62.14093089490461
1,3,62.14093089490461
1,4,62.14093089490461
1,5,62.14093089490461
1,6,59.18244471254909
1,7,59.18244471254909
1,8,59.18244471254909
1,9,59.18244471254909
1,10,50.60185843386242
1,11,42.06875864173871
1,12,41.5912982307403
1,13,40.284314980650635
1,14,40.284314980650635
1,15,40.284314980650635
1,16,40.284314980650635
1,17,40.284314980650635
1,18,33.68188825398987
1,19,33.68188825398987
1,20,33.68188825398987
1,21,33.68188825398987
1,22,33.68188825398987
1,23,33.68188825398987
1,24,33.68188825398987
1,25,33.68188825398987
1,26,33.68188825398987
1,27,33.68188825398987
1,28,33.68188825398987
1,29,33.68188825398987
1,30,33.68188825398987
